franchID,kind,label,firstYear,lastYear,teamID,lgID
SLS,name,St. Louis Giants,1911,1921,SLG,NNL
SLS,name,St. Louis Stars,1922,1931,SLS,NNL
SLS,location,St. Louis,1911,1931,,
SL2,name,St. Louis Stars,1937,1937,SL2,NAL
SL2,location,St. Louis,1937,1937,,
SLI,name,St. Louis Terriers,1914,1915,SLF,FL
SLI,location,St. Louis,1914,1915,,
SPG,name,St. Paul Gophers,1909,1909,SPG,WES
SPG,location,St. Paul,1909,1909,,
STP,name,St. Paul White Caps,1884,1884,SPU,UA
STP,location,St. Paul,1884,1884,,
SC1,name,Stars of Cuba,1910,1910,SC1,WES
SYR,name,Syracuse Stars,1879,1879,SR1,NL
SYR,location,Syracuse,1879,1879,,
SYS,name,Syracuse Stars,1890,1890,SR2,AA
SYS,location,Syracuse,1890,1890,,
TBD,name,Tampa Bay Devil Rays,1998,2007,TBA,AL
TBD,name,Tampa Bay Rays,2008,2025,TBA,AL
TBD,location,Tampa Bay,1998,2025,,
TEX,name,Washington Senators,1961,1971,WS2,AL
TEX,name,Texas Rangers,1972,2025,TEX,AL
TEX,location,Washington,1961,1971,,
TEX,location,Texas,1972,2025,,
TOL,name,Toledo Blue Stockings,1884,1884,TL1,AA
TOL,location,Toledo,1884,1884,,
TLM,name,Toledo Maumees,1890,1890,TL2,AA
TLM,location,Toledo,1890,1890,,
TT,name,Toledo Tigers,1923,1923,TT,NNL
TT,location,Toledo,1923,1923,,
PC,name,Pittsburgh Crawfords,1932,1938,PC,NN2
PC,name,Toledo Crawfords,1939,1939,TC2,NN2
PC,name,Toledo-Indianapolis Crawfords,1940,1940,TIC,NAL
PC,location,Pittsburgh,1932,1938,,
PC,location,Toledo,1939,1939,,
PC,location,Toledo-Indianapolis,1940,1940,,
TOR,name,Toronto Blue Jays,1977,2025,TOR,AL
TOR,location,Toronto,1977,2025,,
TRO,name,Troy Haymakers,1871,1872,TRO,NA
TRO,location,Troy,1871,1872,,
TRT,name,Troy Trojans,1879,1882,TRN,NL
TRT,location,Troy,1879,1882,,
SEN,name,Washington Black Senators,1938,1938,SEN,NN2
SEN,location,Washington,1938,1938,,
WBL,name,Washington Blue Legs,1873,1873,WS5,NA
WBL,location,Washington,1873,1873,,
NAT,name,Washington Nationals,1872,1872,WS4,NA
NAT,location,Washington,1872,1872,,
WNT,name,Washington Nationals,1875,1875,WS6,NA
WNT,location,Washington,1875,1875,,
