yearID,lgID,divID,teamID,franchID,name,Rank,G,W,L,R,RA,WSWin,LgWin
1893,NL,,CL4,CLV,Cleveland Spiders,3,129,73,55,976,839,,N
1893,NL,,LS3,LOU,Louisville Colonels,11,126,50,75,759,942,,N
1893,NL,,NY1,SFG,New York Giants,5,136,68,64,941,845,,N
1893,NL,,PHI,PHI,Philadelphia Phillies,4,133,72,57,1011,841,,N
1893,NL,,PIT,PIT,Pittsburgh Pirates,2,131,81,48,970,766,,N
1893,NL,,SLN,STL,St. Louis Browns,10,135,57,75,745,829,,N
1893,NL,,WAS,WAS,Washington Senators,12,130,40,89,722,1032,,N
1894,NL,,BLN,BLO,Baltimore Orioles,1,129,89,39,1171,819,,Y
1894,NL,,BRO,LAD,Brooklyn Grooms,5,135,70,61,1024,1020,,N
1894,NL,,BSN,ATL,Boston Beaneaters,3,133,83,49,1220,1002,,N
1894,IND,,CBG,CBG,Cuban Giants,1,1,1,0,14,7,,
1894,NL,,CHN,CHC,Chicago Colts,8,136,57,75,1056,1080,,N
1894,NL,,CIN,CIN,Cincinnati Reds,10,134,55,75,936,1108,,N
1894,NL,,CL4,CLV,Cleveland Spiders,6,130,68,61,932,896,,N
1894,NL,,LS3,LOU,Louisville Colonels,12,130,36,94,698,1019,,N
1894,NL,,NY1,SFG,New York Giants,2,139,88,44,962,801,,N
1894,NL,,PHI,PHI,Philadelphia Phillies,4,132,71,57,1179,995,,N
1894,NL,,PIT,PIT,Pittsburgh Pirates,7,133,65,65,965,981,,N
1894,NL,,SLN,STL,St. Louis Browns,9,133,56,76,771,953,,N
1894,NL,,WAS,WAS,Washington Senators,11,132,45,87,882,1122,,N
1895,NL,,BLN,BLO,Baltimore Orioles,1,131,87,43,1009,646,,Y
1895,NL,,BRO,LAD,Brooklyn Grooms,5,133,71,60,879,838,,N
1895,NL,,BSN,ATL,Boston Beaneaters,6,133,71,60,911,829,,N
1895,NL,,CHN,CHC,Chicago Colts,4,133,72,58,866,854,,N
1895,NL,,CIN,CIN,Cincinnati Reds,8,132,66,64,903,854,,N
1895,NL,,CL4,CLV,Cleveland Spiders,2,132,84,46,921,725,,N
1895,NL,,LS3,LOU,Louisville Colonels,12,132,35,96,698,1090,,N
1895,NL,,NY1,SFG,New York Giants,9,132,66,65,852,834,,N
1895,NL,,PHI,PHI,Philadelphia Phillies,3,133,78,53,1068,957,,N
1895,NL,,PIT,PIT,Pittsburgh Pirates,7,134,71,61,815,799,,N
1895,NL,,SLN,STL,St. Louis Browns,11,136,39,92,752,1036,,N
1895,NL,,WAS,WAS,Washington Senators,10,133,43,85,840,1052,,N
1896,NL,,BLN,BLO,Baltimore Orioles,1,132,90,39,995,662,,Y
1896,NL,,BRO,LAD,Brooklyn Bridegrooms,10,133,58,73,692,764,,N
1896,NL,,BSN,ATL,Boston Beaneaters,4,132,74,57,865,761,,N
1896,NL,,CHN,CHC,Chicago Colts,5,132,71,57,815,804,,N
1896,NL,,CIN,CIN,Cincinnati Reds,3,128,77,50,783,620,,N
1896,NL,,CL4,CLV,Cleveland Spiders,2,135,80,48,840,650,,N
1896,NL,,LS3,LOU,Louisville Colonels,12,134,38,93,653,997,,N
1896,NL,,NY1,SFG,New York Giants,7,133,64,67,829,821,,N
1896,NL,,PHI,PHI,Philadelphia Phillies,8,130,62,68,890,891,,N
1896,NL,,PIT,PIT,Pittsburgh Pirates,6,131,66,63,787,741,,N
